cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
4002279,200,ordered,partial or mixed site occupancy,1,22,,339.3231,False,,V2.56 Cr5.66 S12,24,,False,1,False
4002380,200,ordered,partial or mixed site occupancy,1,44,,538.4195,False,,Na1.2 Eu3.96 Gd3.96 Si6 O25.86,64,,False,2,False
4002579,200,ordered,partial or mixed site occupancy,1,32,,394.4008,False,,V8 N2 O22,23,,False,1,False
4002984,200,ordered,partial or mixed site occupancy,1,72,,1202.6158,False,,Cs4 Sn4 H24 C4 Br16 N12,55,,True,0,False
4003297,200,hydrogen_declared_present,"formula declares H, no H site in the cell",1,96,,3139.3958,True,C3 H10 Br3 N Sn,Sn12 C36 Br36 N12,50,,True,1,False
4003378,200,ordered,partial or mixed site occupancy,1,248,,5286.9267,False,,Zn4 H72 C112 N4 O16,30,,True,0,False
4003405,200,ordered,partial or mixed site occupancy,1,736,,7018.1242,False,,H288 Ir8 C288 N64 O4 F32,77,,True,0,False
4003560,200,ordered,partial or mixed site occupancy,1,22,,241.1404,False,,Li2 In4 Sb2 O12,51,,False,0,False
4003840,200,ordered,partial or mixed site occupancy,1,50,,632.1467,False,,Sr10 Mn6 H0.204 O24.204 F1.8,38,,False,2,False
4003904,200,ordered,partial or mixed site occupancy,1,152,,1669.2358,False,,Li70.396 Ga8 P32,31,,False,0,False
4003908,200,ordered,partial or mixed site occupancy,1,108,,2406.9566,False,,Ca41.9 Mn4.304 Sb36,51,,False,1,False
4003918,200,ordered,partial or mixed site occupancy,1,310,,2408.4745,False,,H114 C116 S2 N10 O4,16,,True,0,False
4004013,200,ordered,partial or mixed site occupancy,1,23,,303.2125,False,,Sr3 Zn2.0001 Ge2.9999 Te1 O14,52,,False,0,False
4020096,200,,,1,64,64,617.9648,True,C16 H12 O4,H24 C32 O8,8,0.9492,True,0,True
4020164,200,ordered,partial or mixed site occupancy,1,1200,,11168.1337,False,,H536 Pd4 C512 N16 O100,46,,True,0,False
4020302,200,,,1,72,72,643.9618,True,C30 H35 N3 O4,H35 C30 N3 O4,8,0.9257,True,0,True
4020307,200,size_within_limit,496 sites > 150,1,496,,4665.6809,True,C12 H18 O,H288 C192 O16,8,,True,0,False
4020337,200,ordered,partial or mixed site occupancy,1,344,,3815.7408,False,,P8 H160 C104 Se8 S16 O24 F24,34,,True,0,False
4020405,200,size_within_limit,488 sites > 150,1,488,,4502.0067,True,C44 H64 Cl F8 N5,H256 C176 N20 Cl4 F32,17,,True,0,False
4020516,200,size_within_limit,512 sites > 150,1,512,,5386.4671,True,C35 H28 O2,H216 C280 O16,8,,True,1,False
4020540,200,size_within_limit,220 sites > 150,1,220,,2061.5402,True,C23 H26 F3 N O2,H104 C92 N4 O8 F12,9,0.9431,True,0,False
4020702,200,ordered,partial or mixed site occupancy,1,344,,3125.5024,False,,Si4 H200 C114.4 O20,14,,True,1,False
4021013,200,,,1,116,116,1122.54,True,C30 H26 O2,H52 C60 O4,8,0.8386,True,0,True
4021106,200,,,1,124,124,1130.245,True,C12 H15 N O3,H60 C48 N4 O12,8,0.8007,True,0,True
4021245,200,,,1,120,120,1215.7123,True,C25 H29 Cl2 N O2.5 P Pd,P2 H55 Pd2 C50 N2 Cl4 O5,46,0.8702,True,1,True
4021276,200,size_within_limit,176 sites > 150,1,176,,1684.8999,True,C40 H36 N4 O8,H72 C80 N8 O16,8,0.9295,True,0,False
4021313,200,ordered,partial or mixed site occupancy,1,148,,1357.6637,False,,H60 C56 N12 O8,8,,True,0,False
4021453,200,size_within_limit,544 sites > 150,1,544,,5891.9344,True,C118 H118 N16 O20,H236 C236 N32 O40,8,,True,1,False
4021922,200,size_within_limit,228 sites > 150,1,228,,2260.2649,True,C48 H55 N O9 S,H110 C96 S2 N2 O18,16,0.8354,True,0,False
4022108,200,,,1,144,144,1425.4901,True,C14 H17 O4 P,P4 H68 C56 O16,15,0.929,True,0,True
4022281,200,,,1,100,100,1178.5585,True,C26 H7 B F15 N,B2 H14 C52 N2 F30,9,0.9296,True,0,True
4022366,200,,,1,144,144,1449.3392,True,C20 H15 N,H60 C80 N4,7,0.8577,True,0,True
4022392,200,hydrogen_declared_present,"formula declares H, no H site in the cell",1,232,,1847.2408,True,C20 H34 O4,H136 C80 O16,8,,False,0,False
4022781,200,size_within_limit,252 sites > 150,1,252,,2455.4745,True,C22 H32 N2 O4 S3,H128 C88 S12 N8 O16,16,0.7419,True,0,False
4022805,200,ordered,partial or mixed site occupancy,1,180,,1611.4285,False,,B4 P4 H88 C72,15,,True,0,False
4022842,200,ordered,partial or mixed site occupancy,1,60,,557.1559,False,,H20 C20 N4 O10 F4,9,,True,0,False
4023046,200,size_within_limit,232 sites > 150,1,232,,2357.6342,True,C25 H25 N O7,H100 C100 N4 O28,8,0.9297,True,0,False
4023049,200,ordered,partial or mixed site occupancy,1,388,,2981.0459,False,,H132 C116 S4 N12 O28,16,,True,0,False
