cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
7213495,H20C10SN2O,H80 C40 S4 N8 O4,136,136,1284.5846,P2_1/c,14,monoclinic,5,C H N O S,True
7213511,H14C9BrNO,H56 C36 Br4 N4 O4,104,104,921.097,P2_1/c,14,monoclinic,5,Br C H N O,True
7213572,H10C10S(NO)2,H40 C40 S4 N8 O8,100,100,1025.0103,P2_1/c,14,monoclinic,5,C H N O S,True
7213659,LiH11(C2O)6,Li4 H44 C48 O24,120,120,1129.8641,P2_1/c,14,monoclinic,4,C H Li O,True
7213712,Cs2Li3(BO2)5,Cs8 Li12 B20 O40,80,40,1076.7076,C222_1,20,orthorhombic,4,B Cs Li O,False
7213756,H2C3ClF,H24 C36 Cl12 F12,84,84,1065.9877,P2_12_12_1,19,orthorhombic,4,C Cl F H,True
7214021,NaH7(CO)8,Na4 H28 C32 O32,96,96,897.8139,P2_1/c,14,monoclinic,4,C H Na O,True
7214124,ReH5C7(ClO)2,Re2 H10 C14 Cl4 O4,34,34,457.3005,P2_1/m,11,monoclinic,5,C Cl H O Re,True
7214129,PH29C21S(NF3)2,P2 H58 C42 S2 N4 F12,120,120,1160.3415,P2_1,4,monoclinic,6,C F H N P S,True
7214138,CoH32C16(N3O7)2,Co1 H32 C16 N6 O14,69,69,624.7984,P-1,2,triclinic,5,C Co H N O,True
7214253,CdH9C15N2ClO4,Cd4 H36 C60 N8 Cl4 O16,128,128,1436.3671,P2_1/c,14,monoclinic,6,C Cd Cl H N O,True
7214257,Cd4H8C10N10Cl7,Cd8 H16 C20 N20 Cl14,78,78,1309.2597,Pbam,55,orthorhombic,5,C Cd Cl H N,True
7214451,FeH20C10(N4O5)2,Fe2 H40 C20 N16 O20,98,98,907.1666,P-1,2,triclinic,5,C Fe H N O,True
7214480,H9C4N2O3,H36 C16 N8 O12,72,72,623.433,P2_1/c,14,monoclinic,4,C H N O,True
7214486,H9C4N2O3,H36 C16 N8 O12,72,72,658.8446,P2_1/c,14,monoclinic,4,C H N O,True
7214488,H8C4N2O3,H32 C16 N8 O12,68,68,645.4882,P2_1/c,14,monoclinic,4,C H N O,True
7214495,H11C5N2O3,H44 C20 N8 O12,84,84,725.3393,P2_1/c,14,monoclinic,4,C H N O,True
7214573,CuH12Br4(NO)2,Cu2 H24 Br8 N4 O4,42,42,510.7257,P-42_1m,113,tetragonal,5,Br Cu H N O,False
7214777,H24C18N2O5,H48 C36 N4 O10,98,98,902.5507,P2_1,4,monoclinic,4,C H N O,True
7214795,H13C11N2Cl,H52 C44 N8 Cl4,108,108,1045.3561,P-1,2,triclinic,4,C Cl H N,True
7214858,H18C22SBr(NO2)3,H36 C44 S2 Br2 N6 O12,102,102,1071.8083,P-1,2,triclinic,6,Br C H N O S,True
7214862,H18C22S(NO2)4,H36 C44 S2 N8 O16,106,106,1078.8474,P-1,2,triclinic,5,C H N O S,True
7214868,H21C23S(NO2)3,H42 C46 S2 N6 O12,108,108,1091.5732,P-1,2,triclinic,5,C H N O S,True
7214896,H7C3SBr3O,H28 C12 S4 Br12 O4,60,30,925.3339,Cc,9,monoclinic,5,Br C H O S,True
7215051,CaH18C10N2(ClO2)2,Ca2 H36 C20 N4 Cl4 O8,74,74,706.0123,P2_1/c,14,monoclinic,6,C Ca Cl H N O,True
7215114,Ba2InBiSe5,Ba8 In4 Bi4 Se20,36,18,1090.5745,Cmc2_1,36,orthorhombic,4,Ba Bi In Se,False
7215305,H2C2O,H40 C40 O20,100,100,958.136,P2_1/c,14,monoclinic,3,C H O,True
7215339,GdH10C9NO12,Gd2 H20 C18 N2 O24,66,66,679.0569,P-1,2,triclinic,5,C Gd H N O,True
7215453,Ag2H10C15NO4,Ag8 H40 C60 N4 O16,128,128,1349.3239,P-1,2,triclinic,5,Ag C H N O,True
